#SampleID	original-sample-ids	BarcodeSequence	LinkerPrimerSequence	Order	Name	Days	Weeks	Months	Months_cat	Months_mitigation	Mitigation_status_num	Mitigation_status	Mitigation_status_begin_end	ASR	Concrete	Type	Type2	Input	Input_num	Collected	Year	Season	Season_num	Summer	Winter	S_Yr	Month	Halves	half_char	Thirds	Fourths	Concentration	Extracted	Ground	Extracted2	Rhodoluna	Rhodoluna_num	num_conc	neg_control	old_sample_ids	ph	ppt	Conduc	Ca	Mg	K	Na	NH4	NO3	Cl	SO4	Br	svol	ppt.1	subppt	temp_avg	hum_avg	dew_pt_avg	wind_spd_avg	pressure_avg	precip_avg	precip_sum	snow_sum	rain_sum	temp_max	wind_spd_max	wind_gust	temp_min	time_to_grind	time_to_extract	grind_to_extract	faith_pd_raw	shannon_raw	evenness_raw	observed_otus_raw	total_reads_in_sample	reads_in_negs_per_sample	percent_reads_in_neg_controls	faith_pd_decontam	shannon_decontam	evenness_decontam	observed_otus_decontam	contam_counts_per_sample	percent_contam_reads	avg_conc
021715M	(021715M_2, 021715M_5, 021715M_6)	BBB	BBB	15	(021715M.2, 021715M.5, 021715M.6)	656	94	21	21_	21_mitigated	1	mitigated	mitigated_end	unreactive	Yes	Concrete	Mitigated Concrete	Normal	2	2/17/2015	2015	Winter	1	FALSE	TRUE	Winter 2014	February	2	second	3	4	(Medium, Medium, Low)	(5/25/2016, 8/23/2016, 7/25/2016)	5/12/2016	(May, August, July)	na	0	(0.157, 0.103, 0.056)	FALSE	(021715M2.fastq, 021715M5.fastq, 021715M6.fastq)	5.606	24.257	21.26666667	0.3054	0.05125	0.037833333	0.5876	0.291	1.701166667	0.9748	0.773	0.006166667	1558.68	24.257	24.257	29.95139186	68.4111349	19.74635974	11.11648822	29.98146681	0.031953125	8.18	135	90	53.1	40.3	51.8	1.9	450	(463, 553, 524)	(13, 103, 74)	(22.83243439, 22.74511321, 18.46375402)	(4.388341177, 3.81953215, 3.843158825)	(0.660511163, 0.621087677, 0.6588773)	(100, 71, 57)	(32365, 48994, 45117)	(11130, 45200, 39172)	(0.343890005, 0.922561946, 0.868231487)	(26.05136599, 13.39618814, 11.83371896)	(5.098493346, 5.105456098, 4.293920611)	(0.770781102, 0.959324517, 0.936522515)	(98, 40, 24)	(19978, 45217, 39172)	(0.617271744, 0.922908928, 0.868231487)	0.105333333
021715U	(021715U_0, 021715U_6, 021715U_7)	BBB	BBB	15	(021715U.0, 021715U.7, 021715U.6)	656	94	21	21_	21_unmitigated	0	unmitigated	unmitigated_end	reactive	Yes	Concrete	Unmitigated Concrete	Normal	2	2/17/2015	2015	Winter	1	FALSE	TRUE	Winter 2014	February	2	second	3	4	(Medium, Low, Low)	(8/23/2016, 5/25/2016, 7/25/2016)	5/12/2016	(August, May, July)	(na, na, low)	(0, 0, 1)	(0.136, 0.065, 0.059)	FALSE	(021715U0.fastq, 021715U6.fastq, 021715U7.fastq)	5.606	24.257	21.26666667	0.3054	0.05125	0.037833333	0.5876	0.291	1.701166667	0.9748	0.773	0.006166667	1558.68	24.257	24.257	29.95139186	68.4111349	19.74635974	11.11648822	29.98146681	0.031953125	8.18	135	90	53.1	40.3	51.8	1.9	450	(553, 463, 524)	(103, 13, 74)	(25.41131243, NA, 29.59904442)	(3.220220156, NA, 3.845931306)	(0.520244173, NA, 0.619367129)	(73, NA, 74)	(43479, 13, 45103)	(42500, 13, 38110)	(0.977483383, 1, 0.844954881)	(NA, NA, 37.04717063)	(NA, NA, 4.886265366)	(NA, NA, 0.764396547)	(NA, NA, 84)	(42836, 13, 43177)	(0.985211251, 1, 0.957297741)	0.086666667
022214M	(022214M_7, 022214M_8, 022214M_9)	BBB	BBB	5	(022214M.7, 022214M.8, 022214M.9)	296	43	9	9_	9_mitigated	1	mitigated	mitigated_middle	unreactive	Yes	Concrete	Mitigated Concrete	(Low, Normal, Normal)	(1, 2, 2)	2/22/2014	2014	Winter	1	FALSE	TRUE	Winter 2013	February	1	first	2	2	(Medium, Low, Medium)	7/27/2016	5/12/2016	July	(na, na, high)	(0, 0, 2)	(0.108, 0.077, 0.118)	FALSE	(022214M7.fastq, 022214M8.fastq, 022214M9.fastq)	4.856666667	29.972	10.375	0.072666667	0.01	0.01525	1.040333333	0.135	0.91375	1.775666667	0.462	0.005	3078.566667	29.972	29.972	29.09111111	71.08465608	20.10550265	9.497883598	30.05107937	0.039194631	11.68	157	93	66	35.7	47.2	3.9	810	886	76	(15.20562028, 35.95588068, 13.99893118)	(4.631384533, 4.758919548, 1.511799976)	(0.876259619, 0.686639721, 0.288075621)	(39, 122, 38)	(21098, 47041, 46966)	(10167, 37749, 40361)	(0.481894018, 0.802470186, 0.85936635)	(10.47980592, 34.9699961, NA)	(3.71312743, 6.251098374, NA)	(0.809849029, 0.947148625, NA)	(24, 97, NA)	(11306, 42614, 46079)	(0.535880178, 0.905890606, 0.981113997)	0.101
022214U	(022214U_2, 022214U_3, 022214U_4)	BBB	BBB	5	(022214U.2, 022214U.3, 022214U.4)	296	43	9	9_	9_unmitigated	0	unmitigated	unmitigated_middle	reactive	Yes	Concrete	Unmitigated Concrete	Normal	2	2/22/2014	2014	Winter	1	FALSE	TRUE	Winter 2013	February	1	first	2	2	(Low, Medium, Medium)	(5/5/2016, 5/5/2016, 6/21/2016)	5/31/2016	(May, May, June)	na	0	(0.065, 0.111, 0.148)	FALSE	(022214U2.fastq, 022214U3.fastq, 022214U4.fastq)	4.856666667	29.972	10.375	0.072666667	0.01	0.01525	1.040333333	0.135	0.91375	1.775666667	0.462	0.005	3078.566667	29.972	29.972	29.09111111	71.08465608	20.10550265	9.497883598	30.05107937	0.039194631	11.68	157	93	66	35.7	47.2	3.9	829	(803, 803, 850)	(-26, -26, 21)	(37.12594561, 15.94574952, 41.39511319)	(4.884514148, 4.812507657, 4.328620673)	(0.688150475, 0.861690236, 0.639554194)	(137, 48, 109)	(61261, 25090, 39719)	(49125, 9999, 35005)	(0.801896802, 0.398525309, 0.881316247)	(40.61023554, 10.53829236, 50.53865838)	(6.143355036, 4.047944494, 5.327346045)	(0.832992839, 0.833256552, 0.772659442)	(166, 29, 119)	(52562, 10083, 35307)	(0.858001012, 0.401873256, 0.888919661)	0.108
033114M	(033114M_0, 033114M_4, 033114M_5)	BBB	BBB	6	(033114M.0, 033114M.4, 033114M.5)	333	48	10	10_	10_mitigated	1	mitigated	mitigated_middle	unreactive	Yes	Concrete	Mitigated Concrete	Normal	2	3/31/2014	2014	Spring	2	FALSE	FALSE	Spring 2014	March	2	second	2	3	(Low, Medium, Low)	(7/28/2016, 7/28/2016, 7/25/2016)	5/12/2016	July	(low, na, na)	(1, 0, 0)	(0.075, 0.085, 0.072)	FALSE	(033114M0.fastq, 033114M4.fastq, 033114M5.fastq)	5.58	8.3185	9.8	0.199	0.1875	0.046	0.337	0.8825	0.14	0.55	1.6965	0.005	1057.6	8.3185	8.3185	38.26789298	63.86956522	25.52017837	10.51304348	30.01171683	0.029883721	7.71	88	132	68	36.8	52.9	10	773	(850, 850, 847)	(77, 77, 74)	(25.69879585, 36.01710782, 20.11125689)	(3.261791049, 4.389592887, 5.017244043)	(0.503694459, 0.657870663, 0.824192964)	(89, 102, 68)	(50181, 48562, 45436)	(45691, 46680, 9535)	(0.910523903, 0.961245418, 0.209855621)	(23.07316335, 53.26980614, 18.53539714)	(5.936452212, 6.385211178, 4.258508696)	(0.953062291, 0.913649916, 0.754538839)	(75, 127, 50)	(45935, 47131, 9535)	(0.915386302, 0.970532515, 0.209855621)	0.077333333
033114U	(033114U_10, 033114U_11, 033114U_12)	BBB	BBB	6	(033114U.10, 033114U.11, 033114U.12)	333	48	10	10_	10_unmitigated	0	unmitigated	unmitigated_middle	reactive	Yes	Concrete	Unmitigated Concrete	Normal	2	3/31/2014	2014	Spring	2	FALSE	FALSE	Spring 2014	March	2	second	2	3	Low	8/24/2016	5/31/2016	August	(high, na, na)	(2, 0, 0)	(0.1, 0.055, 0.059)	FALSE	(033114U10.fastq, 033114U11.fastq, 033114U12.fastq)	5.58	8.3185	9.8	0.199	0.1875	0.046	0.337	0.8825	0.14	0.55	1.6965	0.005	1057.6	8.3185	8.3185	38.26789298	63.86956522	25.52017837	10.51304348	30.01171683	0.029883721	7.71	88	132	68	36.8	52.9	10	792	877	85	(17.31289179, 25.06435123, 33.28034532)	(2.448219128, 4.963166312, 4.477523443)	(0.440756138, 0.801826654, 0.654083697)	(47, 73, 115)	(46623, 49413, 45911)	(33005, 37164, 42594)	(0.707912404, 0.752109769, 0.927751519)	(9.717086191, 17.15235808, 39.55656191)	(4.331557918, 4.703555528, 5.464342763)	(0.944731373, 0.949408387, 0.815520024)	(24, 31, 104)	(44718, 42072, 43637)	(0.959140338, 0.851435857, 0.950469386)	0.071333333
042014M	(042014M_3, 042014M_6, 042014M_7)	BBB	BBB	7	(042014M.3, 042014M.6, 042014M.7)	353	51	11	11_	11_mitigated	1	mitigated	mitigated_middle	unreactive	Yes	Concrete	Mitigated Concrete	(Normal, Normal, Low)	(2, 2, 1)	4/20/2014	2014	Spring	2	FALSE	FALSE	Spring 2014	April	2	second	2	3	Medium	(5/26/2016, 7/28/2016, 7/28/2016)	5/19/2016	(May, July, July)	na	0	(0.084, 0.082, 0.096)	FALSE	(042014M3.fastq, 042014M6.fastq, 042014M7.fastq)	5.436666667	20.8915	14.125	0.343333333	0.133	0.0575	0.418333333	0.51925	0.38	0.693666667	0.937	0.005	1947.566667	20.8915	20.8915	48.60321839	66.5045977	36.19206897	10.98344828	30.00005747	0.033884298	8.2	27	168	82	33.4	49.5	21.9	760	(767, 830, 830)	(7, 70, 70)	(28.15578624, 26.69515624, 11.42423556)	(3.932300157, 2.936100872, 4.557878757)	(0.631307532, 0.46311835, 0.888599584)	(75, 81, 35)	(57390, 57234, 25701)	(55417, 54400, 9442)	(0.965621188, 0.950483978, 0.367378701)	(24.08870307, 30.31179322, 8.718130363)	(5.653565374, 5.235120076, 3.857063288)	(0.928722774, 0.86301403, 0.841242058)	(68, 67, 24)	(55785, 55034, 9515)	(0.972033455, 0.96156131, 0.370219058)	0.087333333
042014U	(042014U_4, 042014U_5, 042014U_6)	BBB	BBB	7	(042014U.4, 042014U.5, 042014U.6)	353	51	11	11_	11_unmitigated	0	unmitigated	unmitigated_middle	reactive	Yes	Concrete	Unmitigated Concrete	Normal	2	4/20/2014	2014	Spring	2	FALSE	FALSE	Spring 2014	April	2	second	2	3	(Low, Medium, Medium)	(5/5/2016, 6/21/2016, 5/5/2016)	A	(May, June, May)	(na, high, high)	(0, 2, 2)	(0.061, 0.094, 0.084)	FALSE	(042014U4.fastq, 042014U5.fastq, 042014U6.fastq)	5.436666667	20.8915	14.125	0.343333333	0.133	0.0575	0.418333333	0.51925	0.38	0.693666667	0.937	0.005	1947.566667	20.8915	20.8915	48.60321839	66.5045977	36.19206897	10.98344828	30.00005747	0.033884298	8.2	27	168	82	33.4	49.5	21.9	#VALUE!	(746, 793, 746)	#VALUE!	(31.8296657, 19.4921126, 20.83249802)	(4.65458956, 3.073624043, 2.126024449)	(0.682473229, 0.524689999, 0.349246394)	(113, 58, 68)	(56272, 46584, 63510)	(44922, 30495, 52459)	(0.798301109, 0.654623905, 0.825995906)	(35.33950691, 17.83322923, 18.50718036)	(6.309663762, 4.526404936, 4.71219863)	(0.941679058, 0.897313895, 0.863129893)	(104, 33, 44)	(51054, 41386, 59450)	(0.907271823, 0.888416624, 0.936073059)	0.079666667
050213M	(050213M_3, 050213M_4, 050213M_7)	BBB	BBB	1	(050213M.3, 050213M.4, 050213M.7)	0	0	0	0_	0_mitigated	1	mitigated	mitigated_start	unreactive	Yes	Concrete	Mitigated Concrete	Normal	2	5/2/2013	2013	Spring	2	FALSE	FALSE	Spring 2013	May	1	first	1	1	(Low, Medium, Low)	(5/23/2016, 5/23/2016, 8/24/2016)	5/12/2016	(May, May, August)	(na, na, high)	(0, 0, 2)	(0.057, 0.156, 0.062)	FALSE	(050213M3.fastq, 050213M4.fastq, 050213M7.fastq)	5.446666667	16.08666667	6.65	0.106666667	0.072833333	0.042166667	0.306	0.738	0.632166667	0.511	1.298	0.005	1754.033333	16.08666667	16.08666667	54.33916667	64.23095238	40.78559524	9.358907363	30.13691211	0.038405797	5.3	0	108	88	32.2	44.9	25	1106	(1117, 1117, 1210)	(11, 11, 104)	(29.60701853, 32.32204227, 25.48388166)	(3.773208195, 3.799732268, 2.913326789)	(0.590272345, 0.579705662, 0.470663871)	(84, 94, 73)	(48891, 54982, 54115)	(39762, 44754, 40955)	(0.813278518, 0.813975483, 0.756814192)	(39.40652532, 45.6788663, 25.72539664)	(5.798168554, 6.446818239, 5.59022728)	(0.876556749, 0.952518124, 0.950291771)	(98, 109, 59)	(46520, 51642, 51687)	(0.951504367, 0.939252846, 0.955132588)	0.091666667
050213U	(050213U_1, 050213U_10, 050213U_12)	BBB	BBB	1	(050213U.1, 050213U.10, 050213U.12)	0	0	0	0_	0_unmitigated	0	unmitigated	unmitigated_start	reactive	Yes	Concrete	Unmitigated Concrete	Normal	2	5/2/2013	2013	Spring	2	FALSE	FALSE	Spring 2013	May	1	first	1	1	(High, Low, Medium)	(8/23/2016, 5/17/2016, 5/17/2016)	5/12/2016	(August, May, May)	(na, na, low)	(0, 0, 1)	(0.238, 0.058, 0.084)	FALSE	(050213U1.fastq, 050213U10.fastq, 050213U12.fastq)	5.446666667	16.08666667	6.65	0.106666667	0.072833333	0.042166667	0.306	0.738	0.632166667	0.511	1.298	0.005	1754.033333	16.08666667	16.08666667	54.33916667	64.23095238	40.78559524	9.358907363	30.13691211	0.038405797	5.3	0	108	88	32.2	44.9	25	1106	(1209, 1111, 1111)	(103, 5, 5)	(46.31830196, 32.86859692, 34.97163013)	(4.346803719, 4.421212905, 4.015243284)	(0.62197737, 0.651965548, 0.608378229)	(127, 110, 97)	(56095, 46320, 54074)	(35898, 40567, 47343)	(0.639950085, 0.875798791, 0.875522432)	(53.38781839, 51.16742311, 67.50974444)	(6.724438483, 5.902289765, 5.908739119)	(0.962189422, 0.825524269, 0.79930809)	(127, 142, 168)	(50833, 42648, 51437)	(0.906194848, 0.920725389, 0.951233495)	0.126666667
052014M	(052014M_2, 052014M_3, 052014M_4)	BBB	BBB	8	(052014M.2, 052014M.3, 052014M.4)	383	55	12	12_	12_mitigated	1	mitigated	mitigated_middle	unreactive	Yes	Concrete	Mitigated Concrete	Normal	2	5/20/2014	2014	Spring	2	FALSE	FALSE	Spring 2014	May	2	second	2	3	(Low, Medium, High)	8/23/2016	5/31/2016	August	(high, na, na)	(2, 0, 0)	(0.051, 0.081, 0.192)	FALSE	(052014M2.fastq, 052014M3.fastq, 052014M4.fastq)	5.7625	58.6105	6.7	0.13675	0.055	0.053	0.137	0.37625	0.680666667	0.2625	0.7	0.005	2787.85	58.6105	58.6105	59.28276619	69.29418222	47.64467618	9.769264544	30.02047201	0.089170984	17.21	0	161	84	28.8	46	35.6	742	826	84	(19.1325296, 27.54519684, 21.88191923)	(1.902432208, 4.093006828, 2.862488289)	(0.342497394, 0.638595284, 0.462450634)	(47, 85, 73)	(52308, 63364, 59396)	(44277, 60559, 57205)	(0.84646708, 0.955731961, 0.963111994)	(19.32676445, 26.84759253, 19.69790919)	(4.924712785, 5.79764872, 5.198703738)	(0.960117188, 0.922399, 0.925907817)	(35, 78, 49)	(50217, 61170, 57330)	(0.960025235, 0.965374661, 0.965216513)	0.108
052014U	(052014U_14, 052014U_15, 052014U_4)	BBB	BBB	8	(052014U.14, 052014U.15, 052014U.4)	383	55	12	12_	12_unmitigated	0	unmitigated	unmitigated_middle	reactive	Yes	Concrete	Unmitigated Concrete	Normal	2	5/20/2014	2014	Spring	2	FALSE	FALSE	Spring 2014	May	2	second	2	3	Medium	(8/25/2016, 8/25/2016, 9/8/2016)	5/31/2016	(August, August, September)	na	0	(0.096, 0.093, 0.083)	FALSE	(052014U14.fastq, 052014U15.fastq, 052014U4.fastq)	5.7625	58.6105	6.7	0.13675	0.055	0.053	0.137	0.37625	0.680666667	0.2625	0.7	0.005	2787.85	58.6105	58.6105	59.28276619	69.29418222	47.64467618	9.769264544	30.02047201	0.089170984	17.21	0	161	84	28.8	46	35.6	742	(828, 828, 842)	(86, 86, 100)	(35.5166105, 24.57544029, 45.93757601)	(4.169622714, 3.566767079, 5.891078179)	(0.637639004, 0.570872033, 0.818242539)	(93, 76, 147)	(57443, 56295, 50474)	(54432, 54788, 29596)	(0.947582821, 0.973230305, 0.586361295)	(56.09631377, 21.65096037, 37.16574996)	(5.624606496, 5.597211288, 6.333023999)	(0.799696889, 0.955484713, 0.953215093)	(131, 58, 100)	(55060, 54860, 33858)	(0.958515398, 0.974509281, 0.670800808)	0.090666667
061914M	(061914M_1, 061914M_2, 061914M_3)	BBB	BBB	9	(061914M.1, 061914M.2, 061914M.3)	413	60	13	13_	13_mitigated	1	mitigated	mitigated_middle	unreactive	Yes	Concrete	Mitigated Concrete	Normal	2	6/19/2014	2014	Spring	2	FALSE	FALSE	Spring 2014	June	2	second	2	3	(High, High, Medium)	5/16/2016	5/12/2016	May	(na, low, na)	(0, 1, 0)	(0.326, 0.182, 0.125)	FALSE	(061914M1.fastq, 061914M2.fastq, 061914M3.fastq)	5.6525	21.844	14.5	0.09675	0.0485	0.0715	0.2125	0.736833333	1.61625	0.4095	0.975166667	0.00675	2148.125	21.844	21.844	69.19797069	72.88726043	59.08782413	7.547171946	29.98871111	0.059230769	10.01	0	122	91.9	25.3	36.8	50	693	697	4	(25.57404598, 37.19536842, 49.85982925)	(2.993989865, 4.157363623, 4.886630922)	(0.493561794, 0.619185523, 0.669895131)	(67, 105, 157)	(35994, 59212, 61560)	(30832, 44916, 36082)	(0.856587209, 0.758562454, 0.586127355)	(20.36289408, 52.1059415, 63.99337109)	(4.788584666, 6.046271591, 6.875115068)	(0.877121466, 0.872385043, 0.904630778)	(44, 122, 194)	(30832, 55586, 51715)	(0.856587209, 0.938762413, 0.840074724)	0.211
061914U	(061914U_1, 061914U_8, 061914U_9)	BBB	BBB	9	(061914U.1, 061914U.8, 061914U.9)	413	60	13	13_	13_unmitigated	0	unmitigated	unmitigated_middle	reactive	Yes	Concrete	Unmitigated Concrete	Normal	2	6/19/2014	2014	Spring	2	FALSE	FALSE	Spring 2014	June	2	second	2	3	(Low, Low, Medium)	(5/5/2016, 5/11/2016, 5/11/2016)	A	May	(low, na, na)	(1, 0, 0)	(0.072, 0.058, 0.121)	FALSE	(061914U1.fastq, 061914U8.fastq, 061914U9.fastq)	5.6525	21.844	14.5	0.09675	0.0485	0.0715	0.2125	0.736833333	1.61625	0.4095	0.975166667	0.00675	2148.125	21.844	21.844	69.19797069	72.88726043	59.08782413	7.547171946	29.98871111	0.059230769	10.01	0	122	91.9	25.3	36.8	50	#VALUE!	(686, 692, 692)	#VALUE!	(29.49003063, 46.89413727, 29.82496099)	(4.155386743, 6.279453489, 3.34102663)	(0.636981264, 0.829534117, 0.533132349)	(92, 190, 77)	(50167, 57081, 54520)	(47135, 31060, 53202)	(0.939561863, 0.544139031, 0.975825385)	(62.77400283, 48.4023837, 39.18211734)	(6.627862859, 6.459285137, 6.13794185)	(0.914449385, 0.877912264, 0.945483787)	(152, 164, 90)	(48351, 36294, 53489)	(0.963800905, 0.63583329, 0.981089508)	0.083666667
071513M	(071513M_1, 071513M_7, 071513M_9)	BBB	BBB	2	(071513M.1, 071513M.7, 071513M.9)	74	11	2	2_	2_mitigated	1	mitigated	mitigated_middle	unreactive	Yes	Concrete	Mitigated Concrete	Normal	2	7/15/2013	2013	Summer	3	TRUE	FALSE	Summer 2013	July	1	first	1	1	Medium	(9/8/2016, 5/16/2016, 5/16/2016)	5/12/2016	(September, May, May)	(na, low, low)	(0, 1, 1)	(0.169, 0.151, 0.145)	FALSE	(071513M1.fastq, 071513M7.fastq, 071513M9.fastq)	4.922	61.468	9.6	0.0938	0.018	0.028	0.1702	0.314333333	1.17375	0.355	0.561333333	0.005	1343.54	61.468	61.468	76.21904266	77.51716961	68.16243496	7.044340602	30.00752856	0.102439024	21	0	145	91.9	27.6	36.8	57	1032	(1151, 1036, 1036)	(119, 4, 4)	(28.84712559, 34.7398345, 34.36594353)	(3.859727156, 4.12614274, 4.227661836)	(0.610530063, 0.617085533, 0.629655532)	(80, 103, 105)	(52135, 50328, 53352)	(44039, 42592, 37802)	(0.844710847, 0.846288348, 0.708539511)	(35.83131931, 67.88179958, 46.79583353)	(5.93890345, 6.15796388, 6.546642884)	(0.895849144, 0.834973689, 0.938280097)	(99, 166, 126)	(49938, 47525, 50864)	(0.957859403, 0.944305357, 0.953366322)	0.155
071513U	(071513U_1, 071513U_7, 071513U_8)	BBB	BBB	2	(071513U.1, 071513U.7, 071513U.8)	74	11	2	2_	2_unmitigated	0	unmitigated	unmitigated_middle	reactive	Yes	Concrete	Unmitigated Concrete	Normal	2	7/15/2013	2013	Summer	3	TRUE	FALSE	Summer 2013	July	1	first	1	1	(High, Medium, Medium)	5/24/2016	5/12/2016	May	(na, low, na)	(0, 1, 0)	(0.185, 0.113, 0.143)	FALSE	(071513U1.fastq, 071513U7.fastq, 071513U8.fastq)	4.922	61.468	9.6	0.0938	0.018	0.028	0.1702	0.314333333	1.17375	0.355	0.561333333	0.005	1343.54	61.468	61.468	76.21904266	77.51716961	68.16243496	7.044340602	30.00752856	0.102439024	21	0	145	91.9	27.6	36.8	57	1032	1044	12	(33.53490833, 25.98201783, 28.12970742)	(4.638887286, 5.027556117, 3.401614122)	(0.677655982, 0.807144399, 0.533583229)	(115, 75, 83)	(44906, 54336, 50549)	(38842, 35386, 48040)	(0.864962366, 0.651244111, 0.950364992)	(47.45556662, 19.18539423, 43.77124426)	(5.71638966, 4.61254967, 6.168818068)	(0.81148067, 0.844877268, 0.901150688)	(132, 44, 115)	(41072, 39076, 48828)	(0.914621654, 0.719154888, 0.965953827)	0.147
