accession	study	object_status	bioproject_accession	biosample_accession	sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	fasta_file	assembly	filename	filename2	filename3	filename4	filename5	filename6	filename7	filename8
SRR11657932	SRP259389	new	PRJNA629592	SAMN14783843	071514U_10	071514U_10	16S amplicons from concrete sample  071514U_10: ASR reactive and weathered for 14 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			071514U_10_S55_L001_R1_001.fastq.gz	071514U_10_S55_L001_R2_001.fastq.gz						
SRR11657931	SRP259389	new	PRJNA629592	SAMN14783844	071514U_11	071514U_11	16S amplicons from concrete sample  071514U_11: ASR reactive and weathered for 14 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			071514U_11_S56_L001_R1_001.fastq.gz	071514U_11_S56_L001_R2_001.fastq.gz						
SRR11657930	SRP259389	new	PRJNA629592	SAMN14783845	071514U_12	071514U_12	16S amplicons from concrete sample  071514U_12: ASR reactive and weathered for 14 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			071514U_12_S57_L001_R1_001.fastq.gz	071514U_12_S57_L001_R2_001.fastq.gz						
SRR11657929	SRP259389	new	PRJNA629592	SAMN14783846	081714M_2	081714M_2	16S amplicons from concrete sample  081714M_2: ASR unreactive and weathered for 15 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			081714M_2_S64_L001_R1_001.fastq.gz	081714M_2_S64_L001_R2_001.fastq.gz						
SRR11657928	SRP259389	new	PRJNA629592	SAMN14783847	081714M_7	081714M_7	16S amplicons from concrete sample  081714M_7: ASR unreactive and weathered for 15 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			081714M_7_S65_L001_R1_001.fastq.gz	081714M_7_S65_L001_R2_001.fastq.gz						
SRR11657927	SRP259389	new	PRJNA629592	SAMN14783848	081714M_8	081714M_8	16S amplicons from concrete sample  081714M_8: ASR unreactive and weathered for 15 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			081714M_8_S66_L001_R1_001.fastq.gz	081714M_8_S66_L001_R2_001.fastq.gz						
SRR11657926	SRP259389	new	PRJNA629592	SAMN14783849	081714U_1	081714U_1	16S amplicons from concrete sample  081714U_1: ASR reactive and weathered for 15 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			081714U_1_S61_L001_R1_001.fastq.gz	081714U_1_S61_L001_R2_001.fastq.gz						
SRR11657925	SRP259389	new	PRJNA629592	SAMN14783850	081714U_5	081714U_5	16S amplicons from concrete sample  081714U_5: ASR reactive and weathered for 15 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			081714U_5_S62_L001_R1_001.fastq.gz	081714U_5_S62_L001_R2_001.fastq.gz						
SRR11657924	SRP259389	new	PRJNA629592	SAMN14783851	081714U_6	081714U_6	16S amplicons from concrete sample  081714U_6: ASR reactive and weathered for 15 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			081714U_6_S63_L001_R1_001.fastq.gz	081714U_6_S63_L001_R2_001.fastq.gz						
SRR11657922	SRP259389	new	PRJNA629592	SAMN14783852	090413M_1	090413M_1	16S amplicons from concrete sample  090413M_1: ASR unreactive and weathered for 4 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			090413M_1_S16_L001_R1_001.fastq.gz	090413M_1_S16_L001_R2_001.fastq.gz						
SRR11657921	SRP259389	new	PRJNA629592	SAMN14783853	090413M_2	090413M_2	16S amplicons from concrete sample  090413M_2: ASR unreactive and weathered for 4 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			090413M_2_S17_L001_R1_001.fastq.gz	090413M_2_S17_L001_R2_001.fastq.gz						
SRR11657920	SRP259389	new	PRJNA629592	SAMN14783854	090413M_3	090413M_3	16S amplicons from concrete sample  090413M_3: ASR unreactive and weathered for 4 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			090413M_3_S18_L001_R1_001.fastq.gz	090413M_3_S18_L001_R2_001.fastq.gz						
SRR11657919	SRP259389	new	PRJNA629592	SAMN14783855	090413U_17	090413U_17	16S amplicons from concrete sample  090413U_17: ASR reactive and weathered for 4 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			090413U_17_S13_L001_R1_001.fastq.gz	090413U_17_S13_L001_R2_001.fastq.gz						
SRR11657918	SRP259389	new	PRJNA629592	SAMN14783856	090413U_18	090413U_18	16S amplicons from concrete sample  090413U_18: ASR reactive and weathered for 4 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			090413U_18_S14_L001_R1_001.fastq.gz	090413U_18_S14_L001_R2_001.fastq.gz						
SRR11657917	SRP259389	new	PRJNA629592	SAMN14783857	090413U_19	090413U_19	16S amplicons from concrete sample  090413U_19: ASR reactive and weathered for 4 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			090413U_19_S15_L001_R1_001.fastq.gz	090413U_19_S15_L001_R2_001.fastq.gz						
SRR11657916	SRP259389	new	PRJNA629592	SAMN14783858	091714M_11	091714M_11	16S amplicons from concrete sample  091714M_11: ASR unreactive and weathered for 16 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			091714M_11_S71_L001_R1_001.fastq.gz	091714M_11_S71_L001_R2_001.fastq.gz						
SRR11657915	SRP259389	new	PRJNA629592	SAMN14783859	091714M_12	091714M_12	16S amplicons from concrete sample  091714M_12: ASR unreactive and weathered for 16 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			091714M_12_S72_L001_R1_001.fastq.gz	091714M_12_S72_L001_R2_001.fastq.gz						
SRR11657914	SRP259389	new	PRJNA629592	SAMN14783860	091714M_4	091714M_4	16S amplicons from concrete sample  091714M_4: ASR unreactive and weathered for 16 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			091714M_4_S70_L001_R1_001.fastq.gz	091714M_4_S70_L001_R2_001.fastq.gz						
SRR11657913	SRP259389	new	PRJNA629592	SAMN14783861	091714U_10	091714U_10	16S amplicons from concrete sample  091714U_10: ASR reactive and weathered for 16 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			091714U_10_S68_L001_R1_001.fastq.gz	091714U_10_S68_L001_R2_001.fastq.gz						
SRR11657911	SRP259389	new	PRJNA629592	SAMN14783862	091714U_13	091714U_13	16S amplicons from concrete sample  091714U_13: ASR reactive and weathered for 16 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			091714U_13_S69_L001_R1_001.fastq.gz	091714U_13_S69_L001_R2_001.fastq.gz						
SRR11657910	SRP259389	new	PRJNA629592	SAMN14783863	091714U_9	091714U_9	16S amplicons from concrete sample  091714U_9: ASR reactive and weathered for 16 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			091714U_9_S67_L001_R1_001.fastq.gz	091714U_9_S67_L001_R2_001.fastq.gz						
SRR11657909	SRP259389	new	PRJNA629592	SAMN14783864	101914M_14	101914M_14	16S amplicons from concrete sample  101914M_14: ASR unreactive and weathered for 17 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			101914M_14_S76_L001_R1_001.fastq.gz	101914M_14_S76_L001_R2_001.fastq.gz						
SRR11657908	SRP259389	new	PRJNA629592	SAMN14783865	101914M_16	101914M_16	16S amplicons from concrete sample  101914M_16: ASR unreactive and weathered for 17 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			101914M_16_S77_L001_R1_001.fastq.gz	101914M_16_S77_L001_R2_001.fastq.gz						
SRR11657907	SRP259389	new	PRJNA629592	SAMN14783866	101914M_3	101914M_3	16S amplicons from concrete sample  101914M_3: ASR unreactive and weathered for 17 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			101914M_3_S78_L001_R1_001.fastq.gz	101914M_3_S78_L001_R2_001.fastq.gz						
SRR11657906	SRP259389	new	PRJNA629592	SAMN14783867	101914U_1	101914U_1	16S amplicons from concrete sample  101914U_1: ASR reactive and weathered for 17 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			101914U_1_S74_L001_R1_001.fastq.gz	101914U_1_S74_L001_R2_001.fastq.gz						
SRR11657905	SRP259389	new	PRJNA629592	SAMN14783868	101914U_2	101914U_2	16S amplicons from concrete sample  101914U_2: ASR reactive and weathered for 17 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			101914U_2_S75_L001_R1_001.fastq.gz	101914U_2_S75_L001_R2_001.fastq.gz						
SRR11657904	SRP259389	new	PRJNA629592	SAMN14783869	101914U_8	101914U_8	16S amplicons from concrete sample  101914U_8: ASR reactive and weathered for 17 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			101914U_8_S73_L001_R1_001.fastq.gz	101914U_8_S73_L001_R2_001.fastq.gz						
SRR11657903	SRP259389	new	PRJNA629592	SAMN14783870	102313M_13	102313M_13	16S amplicons from concrete sample  102313M_13: ASR unreactive and weathered for 5 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			102313M_13_S22_L001_R1_001.fastq.gz	102313M_13_S22_L001_R2_001.fastq.gz						
SRR11657902	SRP259389	new	PRJNA629592	SAMN14783871	102313M_2	102313M_2	16S amplicons from concrete sample  102313M_2: ASR unreactive and weathered for 5 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			102313M_2_S23_L001_R1_001.fastq.gz	102313M_2_S23_L001_R2_001.fastq.gz						
SRR11657900	SRP259389	new	PRJNA629592	SAMN14783872	102313M_3	102313M_3	16S amplicons from concrete sample  102313M_3: ASR unreactive and weathered for 5 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			102313M_3_S24_L001_R1_001.fastq.gz	102313M_3_S24_L001_R2_001.fastq.gz						
SRR11657899	SRP259389	new	PRJNA629592	SAMN14783873	102313U_11	102313U_11	16S amplicons from concrete sample  102313U_11: ASR reactive and weathered for 5 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			102313U_11_S19_L001_R1_001.fastq.gz	102313U_11_S19_L001_R2_001.fastq.gz						
SRR11657898	SRP259389	new	PRJNA629592	SAMN14783874	102313U_12	102313U_12	16S amplicons from concrete sample  102313U_12: ASR reactive and weathered for 5 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			102313U_12_S20_L001_R1_001.fastq.gz	102313U_12_S20_L001_R2_001.fastq.gz						
SRR11657897	SRP259389	new	PRJNA629592	SAMN14783875	102313U_3	102313U_3	16S amplicons from concrete sample  102313U_3: ASR reactive and weathered for 5 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			102313U_3_S21_L001_R1_001.fastq.gz	102313U_3_S21_L001_R2_001.fastq.gz						
SRR11657896	SRP259389	new	PRJNA629592	SAMN14783876	111914M_10	111914M_10	16S amplicons from concrete sample  111914M_10: ASR unreactive and weathered for 18 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			111914M_10_S82_L001_R1_001.fastq.gz	111914M_10_S82_L001_R2_001.fastq.gz						
SRR11657895	SRP259389	new	PRJNA629592	SAMN14783877	111914M_11	111914M_11	16S amplicons from concrete sample  111914M_11: ASR unreactive and weathered for 18 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			111914M_11_S83_L001_R1_001.fastq.gz	111914M_11_S83_L001_R2_001.fastq.gz						
SRR11657894	SRP259389	new	PRJNA629592	SAMN14783878	111914M_2	111914M_2	16S amplicons from concrete sample  111914M_2: ASR unreactive and weathered for 18 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			111914M_2_S84_L001_R1_001.fastq.gz	111914M_2_S84_L001_R2_001.fastq.gz						
SRR11657893	SRP259389	new	PRJNA629592	SAMN14783879	111914U_20	111914U_20	16S amplicons from concrete sample  111914U_20: ASR reactive and weathered for 18 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			111914U_20_S81_L001_R1_001.fastq.gz	111914U_20_S81_L001_R2_001.fastq.gz						
SRR11657892	SRP259389	new	PRJNA629592	SAMN14783880	111914U_8	111914U_8	16S amplicons from concrete sample  111914U_8: ASR reactive and weathered for 18 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			111914U_8_S79_L001_R1_001.fastq.gz	111914U_8_S79_L001_R2_001.fastq.gz						
SRR11657891	SRP259389	new	PRJNA629592	SAMN14783881	111914U_9	111914U_9	16S amplicons from concrete sample  111914U_9: ASR reactive and weathered for 18 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			111914U_9_S80_L001_R1_001.fastq.gz	111914U_9_S80_L001_R2_001.fastq.gz						
SRR11657889	SRP259389	new	PRJNA629592	SAMN14783882	FlyAsh_12	FlyAsh_12	16S amplicons from fly ash	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			FlyAsh_12_S100_L001_R1_001.fastq.gz	FlyAsh_12_S100_L001_R2_001.fastq.gz						
SRR11657888	SRP259389	new	PRJNA629592	SAMN14783883	FlyAsh_8	FlyAsh_8	16S amplicons from fly ash	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			FlyAsh_8_S101_L001_R1_001.fastq.gz	FlyAsh_8_S101_L001_R2_001.fastq.gz						
SRR11657887	SRP259389	new	PRJNA629592	SAMN14783884	FlyAsh_9	FlyAsh_9	16S amplicons from fly ash	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			FlyAsh_9_S102_L001_R1_001.fastq.gz	FlyAsh_9_S102_L001_R2_001.fastq.gz						
SRR11657886	SRP259389	new	PRJNA629592	SAMN14783885	Glass_21	Glass_21	16S amplicon negative control	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			Glass_21_S92_L001_R1_001.fastq.gz	Glass_21_S92_L001_R2_001.fastq.gz						
SRR11657885	SRP259389	new	PRJNA629592	SAMN14783886	Glass_22	Glass_22	16S amplicon negative control	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			Glass_22_S93_L001_R1_001.fastq.gz	Glass_22_S93_L001_R2_001.fastq.gz						
SRR11657884	SRP259389	new	PRJNA629592	SAMN14783887	Glass_6	Glass_6	16S amplicon negative control	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			Glass_6_S91_L001_R1_001.fastq.gz	Glass_6_S91_L001_R2_001.fastq.gz						
SRR11657883	SRP259389	new	PRJNA629592	SAMN14783888	Gravel_4	Gravel_4	16S amplicons from gravel	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			Gravel_4_S94_L001_R1_001.fastq.gz	Gravel_4_S94_L001_R2_001.fastq.gz						
SRR11657882	SRP259389	new	PRJNA629592	SAMN14783889	Gravel_5	Gravel_5	16S amplicons from gravel	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			Gravel_5_S95_L001_R1_001.fastq.gz	Gravel_5_S95_L001_R2_001.fastq.gz						
SRR11657881	SRP259389	new	PRJNA629592	SAMN14783890	Gravel_6	Gravel_6	16S amplicons from gravel	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			Gravel_6_S96_L001_R1_001.fastq.gz	Gravel_6_S96_L001_R2_001.fastq.gz						
SRR11657880	SRP259389	new	PRJNA629592	SAMN14783891	Powder_1	Powder_1	16S amplicons from cement powder	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			Powder_1_S103_L001_R1_001.fastq.gz	Powder_1_S103_L001_R2_001.fastq.gz						
SRR11657981	SRP259389	new	PRJNA629592	SAMN14783892	Powder_2	Powder_2	16S amplicons from cement powder	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			Powder_2_S104_L001_R1_001.fastq.gz	Powder_2_S104_L001_R2_001.fastq.gz						
SRR11657980	SRP259389	new	PRJNA629592	SAMN14783893	Powder_3	Powder_3	16S amplicons from cement powder	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			Powder_3_S105_L001_R1_001.fastq.gz	Powder_3_S105_L001_R2_001.fastq.gz						
SRR11657979	SRP259389	new	PRJNA629592	SAMN14783894	Sand_7	Sand_7	16S amplicons from sand	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			Sand_7_S97_L001_R1_001.fastq.gz	Sand_7_S97_L001_R2_001.fastq.gz						
SRR11657978	SRP259389	new	PRJNA629592	SAMN14783895	Sand_8	Sand_8	16S amplicons from sand	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			Sand_8_S98_L001_R1_001.fastq.gz	Sand_8_S98_L001_R2_001.fastq.gz						
SRR11657977	SRP259389	new	PRJNA629592	SAMN14783896	Sand_9	Sand_9	16S amplicons from sand	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			Sand_9_S99_L001_R1_001.fastq.gz	Sand_9_S99_L001_R2_001.fastq.gz						
